"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051960","regulation of nervous system development","26/293","463/18986",0.0561555075593952,3.63880022703986,7.19682517329782,1.55466321356604e-08,5.55014767243077e-05,4.33014617167973e-05,"CDON/SEMA3A/SLC7A5/WNT2/CXCL12/ASIC2/RND2/VEGFA/EGR2/FLRT3/LIF/PER2/EPHB2/SORL1/SEMA6D/ZNF365/CRABP2/DUSP10/LRRTM2/CDKN2B/TENM4/IL34/ROBO1/LRRN3/EPHB3/SLITRK6",26
"GO:0051962","positive regulation of nervous system development","20/293","297/18986",0.0673400673400673,4.36354443180382,7.31445495271169,4.03578443335953e-08,7.20387521354676e-05,5.62036084772069e-05,"CDON/SLC7A5/WNT2/CXCL12/ASIC2/RND2/VEGFA/EGR2/FLRT3/LIF/EPHB2/ZNF365/CRABP2/LRRTM2/TENM4/IL34/ROBO1/LRRN3/EPHB3/SLITRK6",20
"GO:0007411","axon guidance","17/293","236/18986",0.0720338983050847,4.66769827037658,7.0982055883892,1.64763418561803e-07,0.00015623818092994,0.000121894803697662,"CYFIP2/SEMA3A/RPS6KA5/SCN1B/CXCL12/UNC5B/VEGFA/EGR2/FLRT3/EPHB2/SEMA6D/EPHA5/KIAA1755/KALRN/ROBO1/EPHB3/PLEKHG4",17
"GO:0097485","neuron projection guidance","17/293","237/18986",0.0717299578059072,4.64800334096571,7.07522008543869,1.75056785355675e-07,0.00015623818092994,0.000121894803697662,"CYFIP2/SEMA3A/RPS6KA5/SCN1B/CXCL12/UNC5B/VEGFA/EGR2/FLRT3/EPHB2/SEMA6D/EPHA5/KIAA1755/KALRN/ROBO1/EPHB3/PLEKHG4",17
"GO:0043269","regulation of monoatomic ion transport","24/293","480/18986",0.05,3.23993174061433,6.22298467686042,4.79515558235859e-07,0.000342374108580403,0.000267115403598333,"NEDD4L/CAMK2A/PTGS2/P2RX7/BDKRB1/SCN1B/CXCL12/ASIC2/STIM2/RGS4/KCNS1/MCHR1/EPHB2/PRKG2/ANK2/ADRA2A/CLIC2/EPB41/SPTBN4/ADORA1/RRAD/PRKCE/KCNE3/SLC6A9",24
"GO:0007409","axonogenesis","23/293","459/18986",0.0501089324618736,3.24699041543049,6.10105050135222,8.06627986827589e-07,0.000478430892942632,0.000373264969106945,"CYFIP2/FGFR2/SEMA3A/RPS6KA5/SCN1B/CXCL12/UNC5B/RND2/VEGFA/PLPPR4/EGR2/FLRT3/EPHB2/SEMA6D/CRABP2/EPHA5/KIAA1755/KALRN/SPTBN4/ROBO1/EPHB3/SLITRK6/PLEKHG4",23
"GO:1903522","regulation of blood circulation","17/293","267/18986",0.0636704119850187,4.12575577456507,6.43974927138427,9.38099790083591e-07,0.000478430892942632,0.000373264969106945,"PTGS2/TGFB2/SCN1B/ASIC2/TBX18/RGS4/ADM2/PER2/PDE5A/ANK2/ADRA2A/CLIC2/SPTBN4/ADORA1/ARHGAP42/BDKRB2/KCNE3",17
"GO:0050767","regulation of neurogenesis","20/293","383/18986",0.0522193211488251,3.38374072126823,5.90019706822486,2.30344652482386e-06,0.00102791301170265,0.000801963092721571,"CDON/SEMA3A/SLC7A5/WNT2/CXCL12/RND2/VEGFA/EGR2/LIF/PER2/EPHB2/SORL1/SEMA6D/ZNF365/CRABP2/DUSP10/CDKN2B/TENM4/IL34/ROBO1",20
"GO:0010720","positive regulation of cell development","22/293","460/18986",0.0478260869565217,3.09906514319632,5.70576145415272,3.01457458050109e-06,0.00119578125026543,0.000932931501755073,"CDON/SLC7A5/WNT2/CXCL12/RND2/VEGFA/GPR68/EGR2/SOX4/TNFSF9/LIF/EPHB2/ZNF365/PDE5A/CRABP2/DUSP10/TENM4/IL34/INPP5D/ROBO1/EGR3/SOCS1",22
"GO:0010959","regulation of metal ion transport","20/293","408/18986",0.0490196078431373,3.17640366726896,5.56377628744563,5.95502963582353e-06,0.002125945579989,0.00165863246488306,"NEDD4L/CAMK2A/PTGS2/P2RX7/BDKRB1/SCN1B/CXCL12/STIM2/RGS4/KCNS1/MCHR1/ANK2/ADRA2A/CLIC2/EPB41/SPTBN4/ADORA1/RRAD/PRKCE/KCNE3",20
"GO:0043271","negative regulation of monoatomic ion transport","11/293","134/18986",0.082089552238806,5.31929091742652,6.2818237570145,7.50284696496292e-06,0.00243501487862888,0.00189976393007578,"NEDD4L/PTGS2/RGS4/EPHB2/PRKG2/ADRA2A/CLIC2/RRAD/PRKCE/KCNE3/SLC6A9",11
